datum;protjecaj;
01.01.2009;126;
02.01.2009;124;
03.01.2009;114;
04.01.2009;106;
05.01.2009;93,5;
06.01.2009;85,0;
07.01.2009;72,5;
08.01.2009;65,8;
09.01.2009;59,1;
10.01.2009;54,5;
11.01.2009;54,3;
12.01.2009;48,1;
13.01.2009;46,7;
14.01.2009;44,4;
15.01.2009;51,0;
16.01.2009;56,1;
17.01.2009;52,9;
18.01.2009;49,3;
19.01.2009;47,9;
20.01.2009;123;
21.01.2009;393;
22.01.2009;631;
23.01.2009;802;
24.01.2009;829;
25.01.2009;708;
26.01.2009;526;
27.01.2009;398;
28.01.2009;442;
29.01.2009;515;
30.01.2009;499;
31.01.2009;431;
01.02.2009;352;
02.02.2009;283;
03.02.2009;243;
04.02.2009;297;
05.02.2009;443;
06.02.2009;572;
07.02.2009;680;
08.02.2009;739;
09.02.2009;800;
10.02.2009;803;
11.02.2009;703;
12.02.2009;607;
13.02.2009;523;
14.02.2009;428;
15.02.2009;344;
16.02.2009;282;
17.02.2009;237;
18.02.2009;209;
19.02.2009;187;
20.02.2009;163;
21.02.2009;146;
22.02.2009;133;
23.02.2009;128;
24.02.2009;128;
25.02.2009;126;
26.02.2009;118;
27.02.2009;107;
28.02.2009;93,6;
01.03.2009;86,9;
02.03.2009;77,6;
03.03.2009;87,9;
04.03.2009;103;
05.03.2009;126;
06.03.2009;249;
07.03.2009;422;
08.03.2009;405;
09.03.2009;313;
10.03.2009;270;
11.03.2009;258;
12.03.2009;219;
13.03.2009;188;
14.03.2009;168;
15.03.2009;149;
16.03.2009;132;
17.03.2009;122;
18.03.2009;110;
19.03.2009;109;
20.03.2009;110;
21.03.2009;106;
22.03.2009;91,9;
23.03.2009;78,3;
24.03.2009;88,4;
25.03.2009;114;
26.03.2009;119;
27.03.2009;119;
28.03.2009;120;
29.03.2009;128;
30.03.2009;194;
31.03.2009;509;
01.04.2009;595;
02.04.2009;551;
03.04.2009;658;
04.04.2009;876;
05.04.2009;932;
06.04.2009;816;
07.04.2009;639;
08.04.2009;478;
09.04.2009;356;
10.04.2009;278;
11.04.2009;232;
12.04.2009;201;
13.04.2009;170;
14.04.2009;137;
15.04.2009;126;
16.04.2009;117;
17.04.2009;106;
18.04.2009;97,7;
19.04.2009;93,8;
20.04.2009;93,2;
21.04.2009;84,5;
22.04.2009;94,6;
23.04.2009;121;
24.04.2009;131;
25.04.2009;224;
26.04.2009;272;
27.04.2009;223;
28.04.2009;172;
29.04.2009;148;
30.04.2009;178;
01.05.2009;211;
02.05.2009;236;
03.05.2009;228;
04.05.2009;182;
05.05.2009;159;
06.05.2009;147;
07.05.2009;127;
08.05.2009;115;
09.05.2009;104;
10.05.2009;91,3;
11.05.2009;76,0;
12.05.2009;66,9;
13.05.2009;62,3;
14.05.2009;60,4;
15.05.2009;59,6;
16.05.2009;51,6;
17.05.2009;54,8;
18.05.2009;51,6;
19.05.2009;48,1;
20.05.2009;46,9;
21.05.2009;42,9;
22.05.2009;40,5;
23.05.2009;38,9;
24.05.2009;37,7;
25.05.2009;36,6;
26.05.2009;36,9;
27.05.2009;36,2;
28.05.2009;38,6;
29.05.2009;38,5;
30.05.2009;38,3;
31.05.2009;41,7;
01.06.2009;47,0;
02.06.2009;42,1;
03.06.2009;38,4;
04.06.2009;35,6;
05.06.2009;37,9;
06.06.2009;40,6;
07.06.2009;39,9;
08.06.2009;39,1;
09.06.2009;38,1;
10.06.2009;41,7;
11.06.2009;39,5;
12.06.2009;35,9;
13.06.2009;34,2;
14.06.2009;32,3;
15.06.2009;31,7;
16.06.2009;30,2;
17.06.2009;28,5;
18.06.2009;28,5;
19.06.2009;28,7;
20.06.2009;29,2;
21.06.2009;28,4;
22.06.2009;32,7;
23.06.2009;39,0;
24.06.2009;43,5;
25.06.2009;43,7;
26.06.2009;43,1;
27.06.2009;42,4;
28.06.2009;44,0;
29.06.2009;45,5;
30.06.2009;55,7;
01.07.2009;72,8;
02.07.2009;119;
03.07.2009;103;
04.07.2009;72,4;
05.07.2009;56,5;
06.07.2009;48,5;
07.07.2009;47,8;
08.07.2009;55,7;
09.07.2009;74,4;
10.07.2009;124;
11.07.2009;129;
12.07.2009;106;
13.07.2009;73,5;
14.07.2009;58,4;
15.07.2009;51,1;
16.07.2009;44,1;
17.07.2009;37,7;
18.07.2009;34,4;
19.07.2009;34,4;
20.07.2009;37,2;
21.07.2009;38,4;
22.07.2009;38,5;
23.07.2009;35,4;
24.07.2009;32,6;
25.07.2009;30,5;
26.07.2009;28,6;
27.07.2009;28,6;
28.07.2009;29,3;
29.07.2009;28,3;
30.07.2009;26,8;
31.07.2009;25,8;
01.08.2009;25,9;
02.08.2009;25,9;
03.08.2009;25,3;
04.08.2009;27,2;
05.08.2009;29,8;
06.08.2009;32,7;
07.08.2009;32,4;
08.08.2009;32,9;
09.08.2009;32,5;
10.08.2009;30,9;
11.08.2009;30,3;
12.08.2009;29,7;
13.08.2009;28,5;
14.08.2009;27,2;
15.08.2009;25,4;
16.08.2009;24,1;
17.08.2009;23,8;
18.08.2009;24,4;
19.08.2009;25,0;
20.08.2009;24,4;
21.08.2009;23,5;
22.08.2009;22,4;
23.08.2009;22,3;
24.08.2009;23,4;
25.08.2009;27,3;
26.08.2009;26,5;
27.08.2009;26,7;
28.08.2009;25,1;
29.08.2009;23,9;
30.08.2009;23,7;
31.08.2009;23,9;
01.09.2009;24,9;
02.09.2009;25,0;
03.09.2009;23,9;
04.09.2009;22,6;
05.09.2009;22,5;
06.09.2009;24,5;
07.09.2009;27,1;
08.09.2009;30,3;
09.09.2009;30,6;
10.09.2009;28,5;
11.09.2009;26,5;
12.09.2009;25,2;
13.09.2009;26,1;
14.09.2009;26,8;
15.09.2009;25,2;
16.09.2009;24,6;
17.09.2009;25,9;
18.09.2009;26,4;
19.09.2009;32,1;
20.09.2009;41,8;
21.09.2009;40,6;
22.09.2009;34,3;
23.09.2009;29,6;
24.09.2009;26,6;
25.09.2009;24,2;
26.09.2009;22,7;
27.09.2009;21,9;
28.09.2009;21,4;
29.09.2009;21,2;
30.09.2009;21,3;
01.10.2009;21,3;
02.10.2009;21,7;
03.10.2009;21,4;
04.10.2009;22,8;
05.10.2009;23,3;
06.10.2009;22,8;
07.10.2009;22,2;
08.10.2009;21,5;
09.10.2009;21,2;
10.10.2009;20,2;
11.10.2009;20,3;
12.10.2009;23,2;
13.10.2009;29,3;
14.10.2009;46,9;
15.10.2009;56,6;
16.10.2009;44,2;
17.10.2009;36,0;
18.10.2009;30,5;
19.10.2009;27,8;
20.10.2009;24,7;
21.10.2009;23,3;
22.10.2009;22,4;
23.10.2009;22,1;
24.10.2009;25,7;
25.10.2009;116;
26.10.2009;195;
27.10.2009;144;
28.10.2009;96,6;
29.10.2009;64,6;
30.10.2009;47,4;
31.10.2009;41,9;
01.11.2009;37,2;
02.11.2009;33,6;
03.11.2009;36,9;
04.11.2009;40,3;
05.11.2009;79,7;
06.11.2009;167;
07.11.2009;270;
08.11.2009;293;
09.11.2009;259;
10.11.2009;225;
11.11.2009;208;
12.11.2009;199;
13.11.2009;185;
14.11.2009;153;
15.11.2009;116;
16.11.2009;90,8;
17.11.2009;78,6;
18.11.2009;90,5;
19.11.2009;88,4;
20.11.2009;70,2;
21.11.2009;59,4;
22.11.2009;53,4;
23.11.2009;49,2;
24.11.2009;48,0;
25.11.2009;46,7;
26.11.2009;51,5;
27.11.2009;45,8;
28.11.2009;42,5;
29.11.2009;76,8;
30.11.2009;153;
01.12.2009;137;
02.12.2009;143;
03.12.2009;195;
04.12.2009;174;
05.12.2009;131;
06.12.2009;111;
07.12.2009;111;
08.12.2009;109;
09.12.2009;181;
10.12.2009;512;
11.12.2009;525;
12.12.2009;410;
13.12.2009;298;
14.12.2009;235;
15.12.2009;199;
16.12.2009;160;
17.12.2009;138;
18.12.2009;125;
19.12.2009;115;
20.12.2009;106;
21.12.2009;93,1;
22.12.2009;83,6;
23.12.2009;140;
24.12.2009;574;
25.12.2009;809;
26.12.2009;888;
27.12.2009;916;
28.12.2009;883;
29.12.2009;777;
30.12.2009;632;
31.12.2009;511;
01.01.2010;557;
02.01.2010;709;
03.01.2010;802;
04.01.2010;825;
05.01.2010;728;
06.01.2010;561;
07.01.2010;435;
08.01.2010;355;
09.01.2010;386;
10.01.2010;526;
11.01.2010;590;
12.01.2010;538;
13.01.2010;452;
14.01.2010;381;
15.01.2010;328;
16.01.2010;286;
17.01.2010;254;
18.01.2010;233;
19.01.2010;215;
20.01.2010;193;
21.01.2010;183;
22.01.2010;177;
23.01.2010;168;
24.01.2010;159;
25.01.2010;151;
26.01.2010;147;
27.01.2010;142;
28.01.2010;131;
29.01.2010;132;
30.01.2010;128;
31.01.2010;130;
01.02.2010;146;
02.02.2010;144;
03.02.2010;142;
04.02.2010;135;
05.02.2010;137;
06.02.2010;200;
07.02.2010;387;
08.02.2010;420;
09.02.2010;355;
10.02.2010;280;
11.02.2010;234;
12.02.2010;206;
13.02.2010;183;
14.02.2010;162;
15.02.2010;151;
16.02.2010;149;
17.02.2010;141;
18.02.2010;142;
19.02.2010;173;
20.02.2010;331;
21.02.2010;714;
22.02.2010;958;
23.02.2010;982;
24.02.2010;906;
25.02.2010;850;
26.02.2010;792;
27.02.2010;744;
28.02.2010;792;
01.03.2010;776;
02.03.2010;698;
03.03.2010;635;
04.03.2010;549;
05.03.2010;516;
06.03.2010;492;
07.03.2010;436;
08.03.2010;373;
09.03.2010;323;
10.03.2010;288;
11.03.2010;260;
12.03.2010;237;
13.03.2010;221;
14.03.2010;227;
15.03.2010;261;
16.03.2010;297;
17.03.2010;310;
18.03.2010;313;
19.03.2010;330;
20.03.2010;376;
21.03.2010;395;
22.03.2010;414;
23.03.2010;446;
24.03.2010;457;
25.03.2010;422;
26.03.2010;376;
27.03.2010;349;
28.03.2010;345;
29.03.2010;329;
30.03.2010;288;
31.03.2010;266;
01.04.2010;282;
02.04.2010;311;
03.04.2010;298;
04.04.2010;261;
05.04.2010;286;
06.04.2010;608;
07.04.2010;806;
08.04.2010;755;
09.04.2010;561;
10.04.2010;409;
11.04.2010;316;
