datum;protjecaj;
01.01.2009;120;
02.01.2009;114;
03.01.2009;97,3;
04.01.2009;88,4;
05.01.2009;81,5;
06.01.2009;69,1;
07.01.2009;59,0;
08.01.2009;53,1;
09.01.2009;45,6;
10.01.2009;44,1;
11.01.2009;38,7;
12.01.2009;33,6;
13.01.2009;30,9;
14.01.2009;35,0;
15.01.2009;40,0;
16.01.2009;41,2;
17.01.2009;37,6;
18.01.2009;35,2;
19.01.2009;34,2;
20.01.2009;219;
21.01.2009;485;
22.01.2009;697;
23.01.2009;814;
24.01.2009;744;
25.01.2009;553;
26.01.2009;367;
27.01.2009;294;
28.01.2009;413;
29.01.2009;438;
30.01.2009;387;
31.01.2009;312;
01.02.2009;248;
02.02.2009;203;
03.02.2009;186;
04.02.2009;254;
05.02.2009;441;
06.02.2009;584;
07.02.2009;704;
08.02.2009;742;
09.02.2009;802;
10.02.2009;732;
11.02.2009;582;
12.02.2009;507;
13.02.2009;393;
14.02.2009;296;
15.02.2009;235;
16.02.2009;199;
17.02.2009;178;
18.02.2009;167;
19.02.2009;150;
20.02.2009;135;
21.02.2009;120;
22.02.2009;110;
23.02.2009;104;
24.02.2009;106;
25.02.2009;93,9;
26.02.2009;90,2;
27.02.2009;67,7;
28.02.2009;61,5;
01.03.2009;55,8;
02.03.2009;50,7;
03.03.2009;76,5;
04.03.2009;78,9;
05.03.2009;134;
06.03.2009;334;
07.03.2009;441;
08.03.2009;334;
09.03.2009;238;
10.03.2009;218;
11.03.2009;200;
12.03.2009;177;
13.03.2009;154;
14.03.2009;143;
15.03.2009;119;
16.03.2009;105;
17.03.2009;88,8;
18.03.2009;78,1;
19.03.2009;85,8;
20.03.2009;82,4;
21.03.2009;77,3;
22.03.2009;56,1;
23.03.2009;59,9;
24.03.2009;67,6;
25.03.2009;71,3;
26.03.2009;77,7;
27.03.2009;83,9;
28.03.2009;89,6;
29.03.2009;118;
30.03.2009;289;
31.03.2009;619;
01.04.2009;549;
02.04.2009;468;
03.04.2009;724;
04.04.2009;873;
05.04.2009;832;
06.04.2009;669;
07.04.2009;474;
08.04.2009;317;
09.04.2009;232;
10.04.2009;195;
11.04.2009;174;
12.04.2009;158;
13.04.2009;123;
14.04.2009;104;
15.04.2009;96,6;
16.04.2009;84,7;
17.04.2009;73,5;
18.04.2009;70,1;
19.04.2009;71,6;
20.04.2009;62,5;
21.04.2009;60,5;
22.04.2009;79,7;
23.04.2009;110;
24.04.2009;138;
25.04.2009;274;
26.04.2009;248;
27.04.2009;183;
28.04.2009;142;
29.04.2009;146;
30.04.2009;192;
01.05.2009;205;
02.05.2009;229;
03.05.2009;196;
04.05.2009;152;
05.05.2009;144;
06.05.2009;128;
07.05.2009;96,6;
08.05.2009;89,3;
09.05.2009;78,3;
10.05.2009;65,6;
11.05.2009;52,5;
12.05.2009;49,4;
13.05.2009;42,5;
14.05.2009;48,2;
15.05.2009;38,2;
16.05.2009;40,1;
17.05.2009;38,8;
18.05.2009;37,0;
19.05.2009;34,3;
20.05.2009;32,2;
21.05.2009;29,8;
22.05.2009;29,6;
23.05.2009;29,1;
24.05.2009;28,7;
25.05.2009;29,8;
26.05.2009;30,6;
27.05.2009;32,9;
28.05.2009;35,5;
29.05.2009;34,7;
30.05.2009;37,2;
31.05.2009;48,2;
01.06.2009;46,9;
02.06.2009;42,0;
03.06.2009;39,6;
04.06.2009;38,0;
05.06.2009;25,4;
06.06.2009;25,3;
07.06.2009;26,7;
08.06.2009;25,8;
09.06.2009;29,2;
10.06.2009;30,2;
11.06.2009;28,4;
12.06.2009;26,9;
13.06.2009;26,4;
14.06.2009;26,7;
15.06.2009;25,9;
16.06.2009;25,3;
17.06.2009;25,5;
18.06.2009;26,7;
19.06.2009;27,5;
20.06.2009;27,0;
21.06.2009;28,4;
22.06.2009;34,5;
23.06.2009;39,3;
24.06.2009;39,6;
25.06.2009;40,0;
26.06.2009;40,8;
27.06.2009;40,8;
28.06.2009;41,3;
29.06.2009;43,3;
30.06.2009;48,5;
01.07.2009;61,3;
02.07.2009;69,6;
03.07.2009;60,9;
04.07.2009;54,8;
05.07.2009;50,1;
06.07.2009;50,5;
07.07.2009;50,7;
08.07.2009;52,7;
09.07.2009;92,9;
10.07.2009;121;
11.07.2009;99,2;
12.07.2009;75,8;
13.07.2009;61,4;
14.07.2009;56,3;
15.07.2009;51,2;
16.07.2009;44,7;
17.07.2009;40,7;
18.07.2009;38,8;
19.07.2009;42,7;
20.07.2009;43,6;
21.07.2009;44,2;
22.07.2009;39,9;
23.07.2009;36,8;
24.07.2009;33,9;
25.07.2009;32,2;
26.07.2009;32,0;
27.07.2009;33,5;
28.07.2009;32,3;
29.07.2009;30,2;
30.07.2009;29,3;
31.07.2009;29,3;
01.08.2009;29,7;
02.08.2009;28,9;
03.08.2009;29,8;
04.08.2009;32,5;
05.08.2009;33,7;
06.08.2009;32,7;
07.08.2009;32,2;
08.08.2009;32,0;
09.08.2009;29,7;
10.08.2009;28,9;
11.08.2009;28,2;
12.08.2009;27,3;
13.08.2009;26,2;
14.08.2009;24,3;
15.08.2009;23,2;
16.08.2009;22,7;
17.08.2009;23,3;
18.08.2009;24,0;
19.08.2009;22,5;
20.08.2009;21,3;
21.08.2009;20,2;
22.08.2009;19,4;
23.08.2009;19,6;
24.08.2009;20,5;
25.08.2009;20,6;
26.08.2009;21,7;
27.08.2009;20,0;
28.08.2009;18,6;
29.08.2009;18,1;
30.08.2009;18,5;
31.08.2009;18,8;
01.09.2009;18,8;
02.09.2009;17,4;
03.09.2009;16,8;
04.09.2009;16,1;
05.09.2009;18,2;
06.09.2009;19,7;
07.09.2009;21,4;
08.09.2009;21,6;
09.09.2009;19,6;
10.09.2009;18,0;
11.09.2009;16,9;
12.09.2009;17,3;
13.09.2009;18,3;
14.09.2009;16,4;
15.09.2009;15,6;
16.09.2009;17,0;
17.09.2009;16,7;
18.09.2009;19,3;
19.09.2009;26,6;
20.09.2009;26,2;
21.09.2009;21,6;
22.09.2009;18,3;
23.09.2009;16,3;
24.09.2009;15,0;
25.09.2009;14,2;
26.09.2009;13,6;
27.09.2009;13,3;
28.09.2009;13,3;
29.09.2009;13,3;
30.09.2009;13,3;
01.10.2009;23,8;
02.10.2009;22,3;
03.10.2009;24,3;
04.10.2009;24,7;
05.10.2009;23,6;
06.10.2009;23,1;
07.10.2009;21,9;
08.10.2009;22,2;
09.10.2009;20,4;
10.10.2009;19,9;
11.10.2009;21,4;
12.10.2009;27,0;
13.10.2009;32,7;
14.10.2009;64,3;
15.10.2009;45,9;
16.10.2009;37,4;
17.10.2009;27,8;
18.10.2009;25,2;
19.10.2009;21,0;
20.10.2009;19,4;
21.10.2009;18,4;
22.10.2009;17,6;
23.10.2009;17,4;
24.10.2009;36,2;
25.10.2009;196;
26.10.2009;163;
27.10.2009;94,7;
28.10.2009;55,2;
29.10.2009;37,2;
30.10.2009;28,2;
31.10.2009;25,9;
01.11.2009;20,8;
02.11.2009;22,2;
03.11.2009;20,5;
04.11.2009;33,8;
05.11.2009;59,5;
06.11.2009;216;
07.11.2009;264;
08.11.2009;262;
09.11.2009;211;
10.11.2009;197;
11.11.2009;174;
12.11.2009;175;
13.11.2009;148;
14.11.2009;108;
15.11.2009;69,7;
16.11.2009;57,5;
17.11.2009;58,3;
18.11.2009;72,8;
19.11.2009;56,7;
20.11.2009;43,1;
21.11.2009;36,1;
22.11.2009;32,4;
23.11.2009;29,8;
24.11.2009;27,2;
25.11.2009;33,5;
26.11.2009;30,6;
27.11.2009;25,2;
28.11.2009;23,7;
29.11.2009;102;
30.11.2009;145;
01.12.2009;103;
02.12.2009;165;
03.12.2009;179;
04.12.2009;134;
05.12.2009;87,5;
06.12.2009;78,0;
07.12.2009;86,2;
08.12.2009;76,7;
09.12.2009;279;
10.12.2009;561;
11.12.2009;442;
12.12.2009;298;
13.12.2009;215;
14.12.2009;184;
15.12.2009;154;
16.12.2009;120;
17.12.2009;98,9;
18.12.2009;87,4;
19.12.2009;78,2;
20.12.2009;69,7;
21.12.2009;58,9;
22.12.2009;51,5;
23.12.2009;252;
24.12.2009;753;
25.12.2009;862;
26.12.2009;881;
27.12.2009;870;
28.12.2009;780;
29.12.2009;634;
30.12.2009;468;
31.12.2009;394;
01.01.2010;468;
02.01.2010;612;
03.01.2010;673;
04.01.2010;654;
05.01.2010;515;
06.01.2010;352;
07.01.2010;257;
08.01.2010;216;
09.01.2010;262;
10.01.2010;398;
11.01.2010;411;
12.01.2010;340;
13.01.2010;272;
14.01.2010;231;
15.01.2010;205;
16.01.2010;185;
17.01.2010;172;
18.01.2010;159;
19.01.2010;142;
20.01.2010;124;
21.01.2010;124;
22.01.2010;118;
23.01.2010;110;
24.01.2010;102;
25.01.2010;96,3;
26.01.2010;93,4;
27.01.2010;85,2;
28.01.2010;80,2;
29.01.2010;78,5;
30.01.2010;75,5;
31.01.2010;84,2;
01.02.2010;97,4;
02.02.2010;91,5;
03.02.2010;87,8;
04.02.2010;80,1;
05.02.2010;87,7;
06.02.2010;177;
07.02.2010;326;
08.02.2010;286;
09.02.2010;224;
10.02.2010;184;
11.02.2010;157;
12.02.2010;129;
13.02.2010;110;
14.02.2010;89,8;
15.02.2010;81,9;
16.02.2010;86,3;
17.02.2010;74,8;
18.02.2010;75,9;
19.02.2010;119;
20.02.2010;331;
21.02.2010;696;
22.02.2010;764;
23.02.2010;731;
24.02.2010;680;
25.02.2010;655;
26.02.2010;607;
27.02.2010;616;
28.02.2010;677;
01.03.2010;605;
02.03.2010;539;
03.03.2010;470;
04.03.2010;370;
05.03.2010;348;
06.03.2010;311;
07.03.2010;261;
08.03.2010;223;
09.03.2010;201;
10.03.2010;188;
11.03.2010;175;
12.03.2010;156;
13.03.2010;147;
14.03.2010;159;
15.03.2010;187;
16.03.2010;207;
17.03.2010;213;
18.03.2010;223;
19.03.2010;260;
20.03.2010;299;
21.03.2010;311;
22.03.2010;350;
23.03.2010;378;
24.03.2010;369;
25.03.2010;319;
26.03.2010;284;
27.03.2010;275;
28.03.2010;278;
29.03.2010;252;
30.03.2010;219;
31.03.2010;208;
01.04.2010;230;
02.04.2010;248;
03.04.2010;223;
04.04.2010;194;
05.04.2010;232;
06.04.2010;577;
07.04.2010;655;
08.04.2010;540;
09.04.2010;361;
10.04.2010;253;
11.04.2010;214;
12.04.2010;196;
13.04.2010;194;
14.04.2010;198;
15.04.2010;209;
16.04.2010;200;
17.04.2010;184;
18.04.2010;167;
19.04.2010;153;
20.04.2010;124;
21.04.2010;105;
22.04.2010;94,0;
23.04.2010;96,3;
24.04.2010;77,6;
25.04.2010;68,4;
26.04.2010;62,8;
27.04.2010;54,8;
28.04.2010;54,2;
29.04.2010;53,3;
30.04.2010;51,4;
01.05.2010;47,4;
02.05.2010;44,3;
03.05.2010;35,4;
04.05.2010;42,2;
05.05.2010;61,2;
06.05.2010;49,7;
07.05.2010;43,1;
08.05.2010;51,8;
09.05.2010;47,1;
10.05.2010;40,9;
11.05.2010;38,5;
12.05.2010;39,4;
13.05.2010;40,1;
14.05.2010;41,5;
15.05.2010;53,5;
16.05.2010;244;
17.05.2010;448;
18.05.2010;406;
19.05.2010;286;
20.05.2010;208;
21.05.2010;177;
22.05.2010;219;
23.05.2010;238;
24.05.2010;212;
25.05.2010;179;
26.05.2010;136;
27.05.2010;92,1;
28.05.2010;83,5;
29.05.2010;70,9;
30.05.2010;64,9;
31.05.2010;100;
01.06.2010;561;
02.06.2010;709;
03.06.2010;622;
04.06.2010;460;
05.06.2010;323;
06.06.2010;248;
07.06.2010;207;
08.06.2010;180;
09.06.2010;154;
10.06.2010;130;
11.06.2010;114;
12.06.2010;102;
13.06.2010;96,4;
14.06.2010;87,3;
15.06.2010;67,5;
16.06.2010;51,1;
17.06.2010;48,6;
18.06.2010;63,0;
19.06.2010;66,9;
20.06.2010;68,3;
21.06.2010;150;
22.06.2010;354;
23.06.2010;379;
24.06.2010;285;
25.06.2010;222;
26.06.2010;166;
27.06.2010;123;
28.06.2010;102;
29.06.2010;82,2;
30.06.2010;57,2;
01.07.2010;46,6;
02.07.2010;41,7;
03.07.2010;39,0;
04.07.2010;37,2;
05.07.2010;35,5;
06.07.2010;35,9;
07.07.2010;37,0;
08.07.2010;35,5;
09.07.2010;34,9;
10.07.2010;33,4;
11.07.2010;32,5;
12.07.2010;32,2;
13.07.2010;31,8;
14.07.2010;31,6;
15.07.2010;33,8;
16.07.2010;34,4;
17.07.2010;34,9;
18.07.2010;33,4;
19.07.2010;41,0;
20.07.2010;38,7;
21.07.2010;35,3;
22.07.2010;34,2;
23.07.2010;32,0;
24.07.2010;32,2;
25.07.2010;40,4;
26.07.2010;47,0;
27.07.2010;43,2;
28.07.2010;39,1;
29.07.2010;36,8;
30.07.2010;38,4;
31.07.2010;48,7;
01.08.2010;81,5;
02.08.2010;80,2;
03.08.2010;65,4;
04.08.2010;52,7;
05.08.2010;41,6;
06.08.2010;41,6;
07.08.2010;46,8;
08.08.2010;52,4;
09.08.2010;56,7;
10.08.2010;50,2;
11.08.2010;42,2;
12.08.2010;36,8;
13.08.2010;41,7;
14.08.2010;45,0;
15.08.2010;42,4;
16.08.2010;38,7;
17.08.2010;41,0;
18.08.2010;42,6;
19.08.2010;39,8;
20.08.2010;37,2;
21.08.2010;40,6;
22.08.2010;40,5;
23.08.2010;36,6;
24.08.2010;36,2;
25.08.2010;37,4;
26.08.2010;36,8;
27.08.2010;37,6;
28.08.2010;37,2;
29.08.2010;45,4;
30.08.2010;58,2;
31.08.2010;86,4;
01.09.2010;90,2;
02.09.2010;70,2;
03.09.2010;54,4;
04.09.2010;47,1;
05.09.2010;45,8;
06.09.2010;52,7;
07.09.2010;62,9;
08.09.2010;56,1;
09.09.2010;58,2;
10.09.2010;157;
11.09.2010;208;
12.09.2010;137;
13.09.2010;89,8;
14.09.2010;69,9;
15.09.2010;59,1;
16.09.2010;53,0;
17.09.2010;42,4;
18.09.2010;93,8;
19.09.2010;540;
20.09.2010;740;
21.09.2010;727;
22.09.2010;567;
23.09.2010;362;
24.09.2010;240;
25.09.2010;198;
26.09.2010;316;
27.09.2010;493;
28.09.2010;493;
29.09.2010;429;
30.09.2010;310;
01.10.2010;232;
02.10.2010;178;
03.10.2010;116;
04.10.2010;86,1;
05.10.2010;72,9;
06.10.2010;95,8;
07.10.2010;206;
08.10.2010;145;
09.10.2010;111;
10.10.2010;85,8;
11.10.2010;69,7;
12.10.2010;65,1;
13.10.2010;59,7;
14.10.2010;48,9;
15.10.2010;57,6;
16.10.2010;48,8;
17.10.2010;25,8;
18.10.2010;44,8;
19.10.2010;218;
20.10.2010;327;
21.10.2010;298;
22.10.2010;254;
23.10.2010;198;
24.10.2010;139;
25.10.2010;124;
26.10.2010;242;
27.10.2010;338;
28.10.2010;312;
29.10.2010;247;
30.10.2010;192;
31.10.2010;136;
01.11.2010;103;
02.11.2010;78,0;
03.11.2010;101;
04.11.2010;78,2;
05.11.2010;80,2;
06.11.2010;58,8;
07.11.2010;37,7;
08.11.2010;34,0;
09.11.2010;144;
10.11.2010;276;
11.11.2010;346;
12.11.2010;355;
13.11.2010;291;
14.11.2010;214;
15.11.2010;192;
16.11.2010;150;
17.11.2010;128;
18.11.2010;154;
19.11.2010;173;
20.11.2010;276;
21.11.2010;271;
22.11.2010;263;
23.11.2010;466;
24.11.2010;422;
25.11.2010;326;
26.11.2010;255;
27.11.2010;222;
28.11.2010;207;
29.11.2010;227;
30.11.2010;288;
01.12.2010;333;
02.12.2010;353;
03.12.2010;460;
04.12.2010;514;
05.12.2010;421;
06.12.2010;330;
07.12.2010;365;
08.12.2010;678;
09.12.2010;800;
10.12.2010;923;
11.12.2010;971;
12.12.2010;884;
13.12.2010;751;
14.12.2010;564;
15.12.2010;367;
16.12.2010;255;
17.12.2010;211;
18.12.2010;188;
19.12.2010;161;
20.12.2010;143;
21.12.2010;133;
22.12.2010;192;
23.12.2010;285;
24.12.2010;360;
25.12.2010;460;
26.12.2010;462;
27.12.2010;389;
28.12.2010;288;
29.12.2010;238;
30.12.2010;211;
31.12.2010;191;
01.01.2011;170;
02.01.2011;143;
03.01.2011;109;
04.01.2011;130;
05.01.2011;129;
06.01.2011;110;
07.01.2011;101;
08.01.2011;175;
09.01.2011;313;
10.01.2011;304;
11.01.2011;258;
12.01.2011;247;
13.01.2011;232;
14.01.2011;203;
15.01.2011;172;
16.01.2011;152;
17.01.2011;135;
18.01.2011;121;
19.01.2011;117;
20.01.2011;140;
21.01.2011;132;
22.01.2011;87,5;
23.01.2011;87,8;
24.01.2011;88,0;
25.01.2011;98,3;
26.01.2011;94,6;
27.01.2011;67,0;
28.01.2011;64,0;
29.01.2011;63,1;
30.01.2011;61,7;
31.01.2011;60,1;
01.02.2011;57,7;
02.02.2011;55,1;
03.02.2011;58,6;
04.02.2011;66,7;
05.02.2011;56,7;
06.02.2011;50,0;
07.02.2011;49,2;
08.02.2011;60,9;
09.02.2011;65,7;
10.02.2011;80,4;
11.02.2011;92,4;
12.02.2011;71,3;
13.02.2011;66,7;
14.02.2011;66,7;
15.02.2011;83,6;
16.02.2011;96,1;
17.02.2011;97,3;
18.02.2011;83,3;
19.02.2011;101;
20.02.2011;120;
21.02.2011;99,8;
22.02.2011;83,5;
23.02.2011;101;
24.02.2011;84,5;
25.02.2011;77,6;
26.02.2011;68,4;
27.02.2011;56,2;
28.02.2011;53,1;
01.03.2011;56,5;
02.03.2011;58,2;
03.03.2011;58,7;
04.03.2011;49,7;
05.03.2011;52,6;
06.03.2011;53,8;
07.03.2011;46,8;
08.03.2011;51,4;
09.03.2011;49,2;
10.03.2011;44,0;
11.03.2011;46,9;
12.03.2011;52,1;
13.03.2011;53,3;
14.03.2011;52,2;
15.03.2011;97,5;
16.03.2011;225;
17.03.2011;274;
18.03.2011;482;
19.03.2011;400;
20.03.2011;282;
21.03.2011;193;
22.03.2011;127;
23.03.2011;121;
24.03.2011;110;
25.03.2011;88,7;
26.03.2011;79,7;
27.03.2011;64,6;
28.03.2011;59,1;
29.03.2011;60,9;
30.03.2011;110;
31.03.2011;98,4;
01.04.2011;82,7;
02.04.2011;85,0;
03.04.2011;61,5;
04.04.2011;55,9;
05.04.2011;69,6;
06.04.2011;123;
07.04.2011;98,4;
08.04.2011;84,0;
09.04.2011;74,0;
10.04.2011;68,2;
11.04.2011;63,6;
12.04.2011;58,1;
13.04.2011;71,3;
14.04.2011;128;
15.04.2011;147;
16.04.2011;123;
17.04.2011;101;
18.04.2011;74,4;
19.04.2011;65,8;
20.04.2011;64,7;
21.04.2011;64,6;
22.04.2011;58,2;
23.04.2011;54,9;
24.04.2011;49,8;
25.04.2011;53,7;
26.04.2011;46,3;
27.04.2011;47,1;
28.04.2011;46,5;
29.04.2011;52,2;
30.04.2011;48,5;
01.05.2011;51,7;
02.05.2011;56,9;
03.05.2011;62,0;
04.05.2011;56,8;
05.05.2011;54,5;
06.05.2011;51,9;
07.05.2011;47,2;
08.05.2011;44,4;
09.05.2011;43,0;
10.05.2011;46,9;
11.05.2011;50,4;
12.05.2011;42,4;
13.05.2011;40,8;
14.05.2011;50,2;
15.05.2011;47,7;
16.05.2011;47,9;
17.05.2011;131;
18.05.2011;112;
19.05.2011;72,9;
20.05.2011;62,4;
21.05.2011;59,3;
22.05.2011;56,0;
23.05.2011;59,3;
24.05.2011;58,7;
25.05.2011;54,3;
26.05.2011;51,3;
27.05.2011;52,1;
28.05.2011;65,1;
29.05.2011;115;
30.05.2011;124;
31.05.2011;93,9;
01.06.2011;87,8;
02.06.2011;90,8;
03.06.2011;167;
04.06.2011;160;
05.06.2011;155;
06.06.2011;150;
07.06.2011;185;
08.06.2011;179;
09.06.2011;274;
10.06.2011;234;
11.06.2011;238;
12.06.2011;190;
13.06.2011;153;
14.06.2011;90,8;
15.06.2011;69,7;
16.06.2011;57,7;
17.06.2011;48,8;
18.06.2011;51,5;
19.06.2011;37,7;
20.06.2011;67,6;
21.06.2011;92,3;
22.06.2011;60,9;
23.06.2011;42,2;
24.06.2011;37,6;
25.06.2011;30,0;
26.06.2011;30,1;
27.06.2011;28,5;
28.06.2011;27,7;
29.06.2011;27,2;
