datum;protjecaj;
01.01.2009;32,7;
02.01.2009;32,2;
03.01.2009;30,1;
04.01.2009;28,6;
05.01.2009;27,4;
06.01.2009;26,2;
07.01.2009;24,9;
08.01.2009;24,6;
09.01.2009;22,7;
10.01.2009;21,4;
11.01.2009;20,6;
12.01.2009;19,9;
13.01.2009;19,6;
14.01.2009;19,6;
15.01.2009;20,2;
16.01.2009;19,5;
17.01.2009;18,3;
18.01.2009;18,8;
19.01.2009;125;
20.01.2009;246;
21.01.2009;285;
22.01.2009;421;
23.01.2009;265;
24.01.2009;157;
25.01.2009;112;
26.01.2009;91,2;
27.01.2009;102;
28.01.2009;138;
29.01.2009;110;
30.01.2009;89,7;
31.01.2009;75,9;
01.02.2009;65,8;
02.02.2009;57,6;
03.02.2009;54,3;
04.02.2009;115;
05.02.2009;210;
06.02.2009;423;
07.02.2009;404;
08.02.2009;520;
09.02.2009;329;
10.02.2009;199;
11.02.2009;229;
12.02.2009;170;
13.02.2009;116;
14.02.2009;86,4;
15.02.2009;69,6;
16.02.2009;57,8;
17.02.2009;50,9;
18.02.2009;46,9;
19.02.2009;41,5;
20.02.2009;37,5;
21.02.2009;34,7;
22.02.2009;32,6;
23.02.2009;31,1;
24.02.2009;29,6;
25.02.2009;27,9;
26.02.2009;26,1;
27.02.2009;25,6;
28.02.2009;25,2;
01.03.2009;24,3;
02.03.2009;24,8;
03.03.2009;27,9;
04.03.2009;41,7;
05.03.2009;116;
06.03.2009;292;
07.03.2009;177;
08.03.2009;105;
09.03.2009;77,6;
10.03.2009;65,3;
11.03.2009;56,1;
12.03.2009;51,1;
13.03.2009;46,8;
14.03.2009;42,8;
15.03.2009;39,1;
16.03.2009;36,5;
17.03.2009;35,3;
18.03.2009;34,7;
19.03.2009;33,2;
20.03.2009;31,7;
21.03.2009;29,5;
22.03.2009;27,7;
23.03.2009;26,3;
24.03.2009;27,2;
25.03.2009;29,1;
26.03.2009;27,6;
27.03.2009;27,9;
28.03.2009;34,3;
29.03.2009;56,9;
30.03.2009;584;
31.03.2009;402;
01.04.2009;223;
02.04.2009;242;
03.04.2009;615;
04.04.2009;306;
05.04.2009;181;
06.04.2009;137;
07.04.2009;108;
08.04.2009;85,9;
09.04.2009;71,1;
10.04.2009;61,3;
11.04.2009;54,1;
12.04.2009;48,6;
13.04.2009;44,6;
14.04.2009;41,6;
15.04.2009;38,7;
16.04.2009;35,8;
17.04.2009;33,2;
18.04.2009;33,8;
19.04.2009;32,3;
20.04.2009;30,9;
21.04.2009;32,4;
22.04.2009;52,9;
23.04.2009;50,9;
24.04.2009;93,9;
25.04.2009;109;
26.04.2009;71,7;
27.04.2009;54,3;
28.04.2009;46,1;
29.04.2009;63,1;
30.04.2009;113;
01.05.2009;107;
02.05.2009;91,8;
03.05.2009;65,9;
04.05.2009;61,8;
05.05.2009;55,1;
06.05.2009;46,3;
07.05.2009;39,6;
08.05.2009;34,5;
09.05.2009;31,2;
10.05.2009;28,6;
11.05.2009;26,5;
12.05.2009;24,7;
13.05.2009;23,8;
14.05.2009;22,4;
15.05.2009;21,7;
16.05.2009;21,0;
17.05.2009;19,7;
18.05.2009;18,8;
19.05.2009;17,9;
20.05.2009;17,9;
21.05.2009;17,6;
22.05.2009;16,6;
23.05.2009;16,6;
24.05.2009;16,7;
25.05.2009;16,3;
26.05.2009;15,9;
27.05.2009;15,3;
28.05.2009;14,9;
29.05.2009;14,7;
30.05.2009;14,6;
31.05.2009;17,5;
01.06.2009;15,6;
02.06.2009;13,8;
03.06.2009;13,0;
04.06.2009;13,8;
05.06.2009;15,6;
06.06.2009;15,5;
07.06.2009;13,8;
08.06.2009;21,9;
09.06.2009;28,9;
10.06.2009;21,5;
11.06.2009;17,4;
12.06.2009;14,7;
13.06.2009;14,0;
14.06.2009;12,9;
15.06.2009;12,2;
16.06.2009;11,7;
17.06.2009;11,2;
18.06.2009;11,2;
19.06.2009;10,8;
20.06.2009;11,5;
21.06.2009;15,2;
22.06.2009;17,4;
23.06.2009;14,2;
24.06.2009;13,9;
25.06.2009;13,7;
26.06.2009;14,3;
27.06.2009;13,8;
28.06.2009;15,0;
29.06.2009;18,9;
30.06.2009;21,0;
01.07.2009;19,3;
02.07.2009;17,4;
03.07.2009;18,1;
04.07.2009;16,7;
05.07.2009;15,4;
06.07.2009;15,5;
07.07.2009;16,0;
08.07.2009;34,0;
09.07.2009;81,7;
10.07.2009;48,5;
11.07.2009;32,7;
12.07.2009;25,6;
13.07.2009;21,2;
14.07.2009;18,6;
15.07.2009;16,7;
16.07.2009;15,4;
17.07.2009;14,5;
18.07.2009;14,2;
19.07.2009;15,3;
20.07.2009;20,8;
21.07.2009;17,1;
22.07.2009;15,1;
23.07.2009;13,5;
24.07.2009;12,6;
25.07.2009;11,9;
26.07.2009;11,7;
27.07.2009;11,2;
28.07.2009;10,9;
29.07.2009;10,7;
30.07.2009;10,6;
31.07.2009;10,4;
01.08.2009;10,1;
02.08.2009;10,0;
03.08.2009;9,53;
04.08.2009;11,9;
05.08.2009;12,0;
06.08.2009;11,9;
07.08.2009;11,1;
08.08.2009;10,7;
09.08.2009;10,3;
10.08.2009;9,90;
11.08.2009;10,5;
12.08.2009;9,86;
13.08.2009;9,53;
14.08.2009;9,66;
15.08.2009;9,55;
16.08.2009;9,33;
17.08.2009;9,42;
18.08.2009;8,53;
19.08.2009;7,56;
20.08.2009;7,16;
21.08.2009;7,04;
22.08.2009;6,82;
23.08.2009;8,23;
24.08.2009;7,16;
25.08.2009;7,68;
26.08.2009;7,06;
27.08.2009;6,86;
28.08.2009;6,88;
29.08.2009;7,19;
30.08.2009;8,08;
31.08.2009;7,47;
01.09.2009;7,83;
02.09.2009;7,39;
03.09.2009;6,98;
04.09.2009;6,94;
05.09.2009;7,29;
06.09.2009;18,3;
07.09.2009;15,1;
08.09.2009;11,7;
09.09.2009;9,86;
10.09.2009;8,91;
11.09.2009;8,44;
12.09.2009;8,21;
13.09.2009;7,21;
14.09.2009;7,68;
15.09.2009;7,87;
16.09.2009;7,76;
17.09.2009;7,93;
18.09.2009;26,5;
19.09.2009;19,8;
20.09.2009;14,3;
21.09.2009;11,7;
22.09.2009;10,3;
23.09.2009;9,31;
24.09.2009;8,55;
25.09.2009;8,29;
26.09.2009;8,04;
27.09.2009;7,83;
28.09.2009;7,62;
29.09.2009;7,56;
30.09.2009;7,49;
01.10.2009;7,27;
02.10.2009;9,00;
03.10.2009;8,50;
04.10.2009;8,18;
05.10.2009;7,66;
06.10.2009;7,37;
07.10.2009;7,00;
08.10.2009;6,70;
09.10.2009;6,68;
10.10.2009;6,58;
11.10.2009;6,58;
12.10.2009;7,82;
13.10.2009;11,9;
14.10.2009;17,4;
15.10.2009;12,5;
16.10.2009;10,3;
17.10.2009;9,24;
18.10.2009;8,44;
19.10.2009;8,06;
20.10.2009;7,66;
21.10.2009;7,31;
22.10.2009;7,12;
23.10.2009;17,4;
24.10.2009;89,0;
25.10.2009;73,5;
26.10.2009;36,3;
27.10.2009;23,9;
28.10.2009;18,2;
29.10.2009;15,3;
30.10.2009;13,5;
31.10.2009;12,1;
01.11.2009;11,1;
02.11.2009;11,8;
03.11.2009;16,4;
04.11.2009;21,4;
05.11.2009;64,7;
06.11.2009;106;
07.11.2009;131;
08.11.2009;88,8;
09.11.2009;84,4;
10.11.2009;83,7;
11.11.2009;62,5;
12.11.2009;47,1;
13.11.2009;35,1;
14.11.2009;28,4;
15.11.2009;27,9;
16.11.2009;27,4;
17.11.2009;52,9;
18.11.2009;36,6;
19.11.2009;27,5;
20.11.2009;22,2;
21.11.2009;19,5;
22.11.2009;17,6;
23.11.2009;16,3;
24.11.2009;32,8;
25.11.2009;28,9;
26.11.2009;21,9;
27.11.2009;20,4;
28.11.2009;61,9;
29.11.2009;97,5;
30.11.2009;60,3;
01.12.2009;79,5;
02.12.2009;129;
03.12.2009;71,9;
04.12.2009;48,6;
05.12.2009;40,6;
06.12.2009;39,4;
07.12.2009;33,6;
08.12.2009;31,7;
09.12.2009;364;
10.12.2009;193;
11.12.2009;109;
12.12.2009;72,4;
13.12.2009;53,4;
14.12.2009;42,9;
15.12.2009;35,7;
16.12.2009;31,3;
17.12.2009;30,1;
18.12.2009;29,3;
19.12.2009;28,4;
20.12.2009;26,2;
21.12.2009;24,5;
22.12.2009;28,2;
23.12.2009;554;
24.12.2009;763;
25.12.2009;519;
26.12.2009;541;
27.12.2009;274;
28.12.2009;218;
29.12.2009;166;
30.12.2009;146;
31.12.2009;276;
01.01.2010;305;
02.01.2010;350;
03.01.2010;267;
04.01.2010;165;
05.01.2010;115;
06.01.2010;89,8;
07.01.2010;73,9;
08.01.2010;63,5;
09.01.2010;67,8;
10.01.2010;72,2;
11.01.2010;71,6;
12.01.2010;68,1;
13.01.2010;62,0;
14.01.2010;56,7;
15.01.2010;51,8;
16.01.2010;47,1;
17.01.2010;44,4;
18.01.2010;42,6;
19.01.2010;40,2;
20.01.2010;39,3;
21.01.2010;38,3;
22.01.2010;36,1;
23.01.2010;33,4;
24.01.2010;31,5;
25.01.2010;29,8;
26.01.2010;28,2;
27.01.2010;26,8;
28.01.2010;26,1;
29.01.2010;26,3;
30.01.2010;26,8;
31.01.2010;37,4;
01.02.2010;35,2;
02.02.2010;30,1;
03.02.2010;28,0;
04.02.2010;28,1;
