datum,padaline
2009-01-01,2.0
2009-01-02,5.5
2009-01-03,0.2
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,11.0
2009-01-09,0.0
2009-01-10,0.0
2009-01-11,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.2
2009-01-15,8.8
2009-01-16,0.0
2009-01-17,0.0
2009-01-18,4.5
2009-01-19,34.0
2009-01-20,39.6
2009-01-21,2.7
2009-01-22,26.4
2009-01-23,1.8
2009-01-24,6.0
2009-01-25,6.2
2009-01-26,1.2
2009-01-27,13.8
2009-01-28,29.0
2009-01-29,3.8
2009-01-30,1.2
2009-01-31,0.0
2009-02-01,0.0
2009-02-02,11.6
2009-02-03,24.0
2009-02-04,19.5
2009-02-05,3.4
2009-02-06,28.5
2009-02-07,10.4
2009-02-08,26.2
2009-02-09,9.3
2009-02-10,0.0
2009-02-11,46.5
2009-02-12,0.4
2009-02-13,0.0
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,0.0
2009-02-18,1.5
2009-02-19,0.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.4
2009-02-26,0.0
2009-02-27,0.0
2009-02-28,0.0
2009-03-01,0.0
2009-03-02,0.4
2009-03-03,3.4
2009-03-04,12.5
2009-03-05,13.0
2009-03-06,29.6
2009-03-07,0.0
2009-03-08,0.0
2009-03-09,0.0
2009-03-10,16.7
2009-03-11,0.0
2009-03-12,0.0
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,0.0
2009-03-16,0.6
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,0.4
2009-03-21,3.5
2009-03-22,0.4
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,21.8
2009-03-26,0.0
2009-03-27,0.5
2009-03-28,0.6
2009-03-29,5.7
2009-03-30,98.0
2009-03-31,4.5
2009-04-01,8.2
2009-04-02,9.0
2009-04-03,29.2
2009-04-04,2.7
2009-04-05,12.6
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-10,0.0
2009-04-11,0.0
2009-04-12,0.0
2009-04-13,0.0
