datum,padaline
2009-01-01,6.6
2009-01-02,19.3
2009-01-03,0.0
2009-01-04,0.1
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,5.6
2009-01-09,0.1
2009-01-10,0.0
2009-01-11,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.9
2009-01-15,8.8
2009-01-16,0.6
2009-01-17,0.0
2009-01-18,2.6
2009-01-19,57.7
2009-01-20,44.7
2009-01-21,2.2
2009-01-22,28.5
2009-01-23,0.0
2009-01-24,10.4
2009-01-25,2.3
2009-01-26,0.2
2009-01-27,9.2
2009-01-28,7.3
2009-01-29,0.5
2009-01-30,0.4
2009-01-31,0.1
2009-02-01,0.2
2009-02-02,3.5
2009-02-03,54.1
2009-02-04,34.0
2009-02-05,3.3
2009-02-06,38.0
2009-02-07,8.3
2009-02-08,34.6
2009-02-09,7.9
2009-02-10,0.0
2009-02-11,54.8
2009-02-12,0.0
2009-02-13,0.0
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,0.0
2009-02-18,0.4
2009-02-19,0.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,1.0
2009-02-26,0.0
2009-02-27,0.0
2009-02-28,0.0
2009-03-01,0.0
2009-03-02,3.8
2009-03-03,1.9
2009-03-04,18.5
2009-03-05,16.3
2009-03-06,30.9
2009-03-07,0.6
2009-03-08,0.0
2009-03-09,0.0
2009-03-10,11.5
2009-03-11,0.0
2009-03-12,0.0
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,0.0
2009-03-16,0.2
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,0.5
2009-03-21,0.5
2009-03-22,0.5
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,11.2
2009-03-26,0.0
2009-03-27,0.5
2009-03-28,0.9
2009-03-29,9.2
2009-03-30,110.5
2009-03-31,1.1
2009-04-01,9.7
2009-04-02,11.3
2009-04-03,17.4
2009-04-04,3.2
2009-04-05,5.2
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-10,0.0
2009-04-11,0.0
2009-04-12,0.0
2009-04-13,0.0
2009-04-14,0.6
2009-04-15,5.4
2009-04-16,0.0
2009-04-17,16.7
2009-04-18,2.7
2009-04-19,0.1
2009-04-20,4.7
2009-04-21,2.6
2009-04-22,3.6
2009-04-23,0.0
2009-04-24,12.1
2009-04-25,0.5
2009-04-26,0.0
2009-04-27,0.1
2009-04-28,2.1
2009-04-29,30.4
2009-04-30,9.8
2009-05-01,9.2
2009-05-02,0.0
2009-05-03,3.4
2009-05-04,2.4
2009-05-05,0.1
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-09,0.0
2009-05-10,0.0
2009-05-11,0.0
2009-05-12,0.0
2009-05-13,0.0
2009-05-14,0.0
2009-05-15,0.0
2009-05-16,0.0
2009-05-17,0.0
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,0.0
2009-05-22,0.0
2009-05-23,0.0
2009-05-24,0.0
2009-05-25,0.5
2009-05-26,0.0
2009-05-27,0.0
2009-05-28,0.9
2009-05-29,0.0
2009-05-30,0.0
2009-05-31,2.2
2009-06-01,0.0
2009-06-02,0.0
2009-06-03,0.0
2009-06-04,9.1
2009-06-05,9.6
2009-06-06,10.3
2009-06-07,1.6
2009-06-08,15.3
2009-06-09,0.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,2.8
2009-06-13,0.0
2009-06-14,0.0
2009-06-15,0.0
2009-06-16,0.0
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,0.0
2009-06-20,4.2
2009-06-21,24.8
2009-06-22,0.6
2009-06-23,6.3
2009-06-24,5.6
2009-06-25,1.2
2009-06-26,0.0
2009-06-27,3.0
2009-06-28,26.8
2009-06-29,6.8
2009-06-30,1.1
2009-07-01,2.5
2009-07-02,4.5
2009-07-03,1.5
2009-07-04,0.0
2009-07-05,0.9
2009-07-06,1.0
2009-07-07,3.5
2009-07-08,4.4
2009-07-09,6.8
2009-07-10,0.0
2009-07-11,2.3
2009-07-12,0.0
2009-07-13,0.0
2009-07-14,0.0
2009-07-15,0.0
2009-07-16,0.0
2009-07-17,0.0
2009-07-18,0.0
2009-07-19,50.6
2009-07-20,0.0
2009-07-21,0.0
2009-07-22,0.0
2009-07-23,0.0
2009-07-24,0.0
2009-07-25,0.0
2009-07-26,0.0
2009-07-27,0.0
2009-07-28,0.0
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,0.0
2009-08-01,0.0
2009-08-02,0.0
2009-08-03,0.0
2009-08-04,29.1
2009-08-05,19.1
2009-08-06,0.0
2009-08-07,0.0
2009-08-08,0.0
2009-08-09,0.0
2009-08-10,0.0
2009-08-11,14.2
2009-08-12,0.6
2009-08-13,0.0
2009-08-14,7.1
2009-08-15,0.0
2009-08-16,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,0.0
2009-08-21,0.0
2009-08-22,0.0
2009-08-23,0.3
2009-08-24,0.0
2009-08-25,0.0
2009-08-26,0.0
2009-08-27,0.0
2009-08-28,0.0
2009-08-29,0.0
2009-08-30,15.1
2009-08-31,0.0
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,1.8
2009-09-04,19.8
2009-09-05,2.3
2009-09-06,0.4
2009-09-07,0.0
2009-09-08,0.0
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,0.0
2009-09-12,0.3
2009-09-13,1.3
2009-09-14,0.0
2009-09-15,11.4
2009-09-16,0.0
2009-09-17,22.9
2009-09-18,2.5
2009-09-19,0.4
2009-09-20,0.0
2009-09-21,0.0
2009-09-22,0.0
2009-09-23,0.0
2009-09-24,0.0
2009-09-25,0.0
2009-09-26,0.0
2009-09-27,0.0
2009-09-28,0.0
2009-09-29,0.0
2009-09-30,0.0
2009-10-01,0.0
2009-10-02,10.0
2009-10-03,0.4
2009-10-04,0.0
2009-10-05,0.0
2009-10-06,0.0
2009-10-07,0.0
2009-10-08,0.0
2009-10-09,0.0
2009-10-10,0.3
2009-10-11,16.4
2009-10-12,15.2
2009-10-13,33.9
2009-10-14,0.0
2009-10-15,0.0
2009-10-16,0.0
2009-10-17,0.0
2009-10-18,0.0
2009-10-19,0.0
2009-10-20,0.0
2009-10-21,0.0
2009-10-22,1.8
2009-10-23,31.7
2009-10-24,18.3
2009-10-25,0.7
2009-10-26,0.0
2009-10-27,0.1
2009-10-28,0.0
2009-10-29,0.0
2009-10-30,0.0
2009-10-31,0.0
2009-11-01,0.0
2009-11-02,0.0
2009-11-03,19.8
2009-11-04,14.8
2009-11-05,36.8
2009-11-06,8.1
2009-11-07,10.3
2009-11-08,0.5
2009-11-09,12.8
2009-11-10,0.8
2009-11-11,0.7
2009-11-12,0.0
2009-11-13,0.0
2009-11-14,0.0
2009-11-15,3.7
2009-11-16,11.3
2009-11-17,11.3
2009-11-18,2.7
2009-11-19,0.0
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,0.0
2009-11-23,20.3
2009-11-24,22.0
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,11.4
2009-11-28,27.1
2009-11-29,4.5
2009-11-30,3.1
2009-12-01,29.6
2009-12-02,4.2
2009-12-03,0.0
2009-12-04,0.0
2009-12-05,6.6
2009-12-06,0.0
2009-12-07,0.0
2009-12-08,23.4
2009-12-09,74.2
2009-12-10,0.0
2009-12-11,0.0
2009-12-12,1.1
2009-12-13,0.2
2009-12-14,0.4
2009-12-15,0.9
2009-12-16,1.8
2009-12-17,1.0
2009-12-18,0.2
2009-12-19,8.9
2009-12-20,2.1
2009-12-21,0.0
2009-12-22,33.4
2009-12-23,188.2
2009-12-24,36.1
2009-12-25,120.2
2009-12-26,12.7
2009-12-27,3.8
2009-12-28,1.3
2009-12-29,9.3
2009-12-30,31.4
2009-12-31,67.2
2010-01-01,27.3
2010-01-02,14.5
2010-01-03,24.5
2010-01-04,0.0
2010-01-05,16.1
2010-01-06,21.9
2010-01-07,27.8
2010-01-08,3.3
2010-01-09,39.2
2010-01-10,14.7
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.1
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.2
2010-01-23,0.2
2010-01-24,0.0
2010-01-25,0.0
