datum,padaline
2009-01-01,0.3
2009-01-02,8.6
2009-01-03,0.0
2009-01-04,0.3
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,11.1
2009-01-09,0.1
2009-01-10,0.0
2009-01-11,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,2.8
2009-01-15,11.3
2009-01-16,0.0
2009-01-17,0.0
2009-01-18,0.0
2009-01-19,21.4
2009-01-20,7.8
2009-01-21,2.8
2009-01-22,30.1
2009-01-23,0.4
2009-01-24,1.7
2009-01-25,4.4
2009-01-26,3.6
2009-01-27,10.3
2009-01-28,22.8
2009-01-29,4.7
2009-01-30,4.9
2009-01-31,1.5
2009-02-01,0.3
2009-02-02,9.0
2009-02-03,23.3
2009-02-04,11.5
2009-02-05,0.7
2009-02-06,7.6
2009-02-07,0.1
2009-02-08,31.5
2009-02-09,1.1
2009-02-10,0.0
2009-02-11,13.6
2009-02-12,7.9
2009-02-13,1.5
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,0.0
2009-02-18,6.6
2009-02-19,0.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,0.3
2009-02-23,0.0
2009-02-24,0.1
2009-02-25,4.8
2009-02-26,0.0
2009-02-27,0.0
2009-02-28,0.0
2009-03-01,0.0
2009-03-02,0.0
2009-03-03,0.9
2009-03-04,8.3
2009-03-05,11.8
2009-03-06,24.5
2009-03-07,0.0
2009-03-08,0.0
2009-03-09,0.0
2009-03-10,24.1
2009-03-11,0.0
2009-03-12,0.9
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,0.0
2009-03-16,0.9
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,3.0
2009-03-21,8.2
2009-03-22,2.3
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,28.7
2009-03-26,0.1
2009-03-27,0.2
2009-03-28,0.0
2009-03-29,0.6
2009-03-30,21.9
2009-03-31,2.2
2009-04-01,11.7
2009-04-02,12.5
2009-04-03,43.2
2009-04-04,5.3
2009-04-05,7.0
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-10,0.0
2009-04-11,0.0
2009-04-12,0.0
2009-04-13,0.0
2009-04-14,0.2
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,4.6
2009-04-18,2.2
2009-04-19,0.8
2009-04-20,17.1
2009-04-21,6.9
2009-04-22,5.6
2009-04-23,0.0
2009-04-24,30.8
2009-04-25,5.9
2009-04-26,0.0
2009-04-27,0.0
2009-04-28,4.4
2009-04-29,34.4
2009-04-30,0.7
2009-05-01,16.7
2009-05-02,1.2
2009-05-03,5.6
2009-05-04,2.1
2009-05-05,0.2
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-09,0.0
2009-05-10,0.0
2009-05-11,0.0
2009-05-12,0.0
2009-05-13,0.0
2009-05-14,0.0
2009-05-15,0.0
2009-05-16,0.1
2009-05-17,0.0
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,0.7
2009-05-21,0.0
2009-05-22,0.0
2009-05-23,0.0
2009-05-24,0.0
2009-05-25,0.5
2009-05-26,0.0
2009-05-27,0.0
2009-05-28,5.8
2009-05-29,0.0
2009-05-30,2.6
2009-05-31,5.3
2009-06-01,0.0
2009-06-02,0.0
2009-06-03,0.2
2009-06-04,9.2
2009-06-05,16.0
2009-06-06,0.2
2009-06-07,0.3
2009-06-08,2.2
2009-06-09,0.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,8.8
2009-06-13,0.0
2009-06-14,0.0
2009-06-15,0.0
2009-06-16,0.0
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,0.0
2009-06-20,1.4
2009-06-21,17.5
2009-06-22,1.2
2009-06-23,4.0
2009-06-24,1.9
2009-06-25,0.8
2009-06-26,0.2
2009-06-27,0.0
2009-06-28,0.0
2009-06-29,6.9
2009-06-30,2.1
2009-07-01,17.7
2009-07-02,1.9
2009-07-03,0.0
2009-07-04,0.1
2009-07-05,1.4
2009-07-06,0.0
2009-07-07,0.0
2009-07-08,47.3
2009-07-09,6.9
2009-07-10,0.9
2009-07-11,2.2
2009-07-12,0.0
2009-07-13,0.0
2009-07-14,0.0
2009-07-15,0.0
2009-07-16,0.0
2009-07-17,0.0
2009-07-18,0.0
2009-07-19,4.7
2009-07-20,0.0
2009-07-21,0.0
2009-07-22,0.0
2009-07-23,0.0
2009-07-24,0.0
