datum,padaline
2009-01-01,0.0
2009-01-02,14.0
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,13.0
2009-01-09,0.0
2009-01-10,0.0
2009-01-11,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,22.5
2009-01-16,0.0
2009-01-17,0.0
2009-01-18,0.0
2009-01-19,0.0
2009-01-20,0.0
2009-01-21,3.4
2009-01-22,25.2
2009-01-23,0.7
2009-01-24,1.5
2009-01-25,3.4
2009-01-26,3.7
2009-01-27,8.0
2009-01-28,19.8
2009-01-29,4.5
2009-01-30,6.2
2009-01-31,2.4
2009-02-01,0.0
2009-02-02,0.0
2009-02-03,12.7
2009-02-04,19.6
2009-02-05,0.0
2009-02-06,0.0
2009-02-07,0.0
2009-02-08,12.9
2009-02-09,5.5
2009-02-10,0.0
2009-02-11,4.6
2009-02-12,1.0
2009-02-13,0.3
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,0.0
2009-02-18,12.0
2009-02-19,0.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,3.5
2009-02-26,0.0
2009-02-27,0.0
2009-02-28,0.0
2009-03-01,0.0
2009-03-02,0.0
2009-03-03,0.3
2009-03-04,7.0
2009-03-05,8.5
2009-03-06,9.5
2009-03-07,0.0
2009-03-08,0.0
2009-03-09,0.0
2009-03-10,8.6
2009-03-11,0.0
2009-03-12,2.0
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,0.0
2009-03-16,1.7
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,0.0
2009-03-21,7.8
2009-03-22,1.4
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,17.5
2009-03-26,0.0
2009-03-27,2.0
2009-03-28,0.0
2009-03-29,0.0
2009-03-30,9.2
2009-03-31,1.5
2009-04-01,10.5
2009-04-02,9.6
2009-04-03,43.0
2009-04-04,6.0
2009-04-05,4.8
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-10,0.0
2009-04-11,0.0
2009-04-12,0.0
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,0.0
2009-04-18,1.0
2009-04-19,3.0
2009-04-20,3.8
2009-04-21,2.8
2009-04-22,8.6
2009-04-23,0.0
2009-04-24,24.0
2009-04-25,2.2
2009-04-26,0.0
2009-04-27,0.5
2009-04-28,1.8
2009-04-29,4.5
2009-04-30,3.6
2009-05-01,16.0
2009-05-02,0.0
2009-05-03,2.5
2009-05-04,0.0
2009-05-05,0.0
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
