datum;vodostaj;
01.01.2009;248;
02.01.2009;246;
03.01.2009;235;
04.01.2009;227;
05.01.2009;218;
06.01.2009;211;
07.01.2009;200;
08.01.2009;194;
09.01.2009;187;
10.01.2009;182;
11.01.2009;182;
12.01.2009;175;
13.01.2009;173;
14.01.2009;170;
15.01.2009;178;
16.01.2009;184;
17.01.2009;180;
18.01.2009;176;
19.01.2009;174;
20.01.2009;249;
21.01.2009;509;
22.01.2009;705;
23.01.2009;809;
24.01.2009;822;
25.01.2009;757;
26.01.2009;626;
27.01.2009;516;
28.01.2009;555;
29.01.2009;617;
30.01.2009;603;
31.01.2009;545;
01.02.2009;475;
02.02.2009;410;
03.02.2009;370;
04.02.2009;423;
05.02.2009;555;
06.02.2009;664;
07.02.2009;740;
08.02.2009;776;
09.02.2009;809;
10.02.2009;810;
11.02.2009;754;
12.02.2009;691;
13.02.2009;624;
14.02.2009;542;
15.02.2009;466;
16.02.2009;408;
17.02.2009;365;
18.02.2009;336;
19.02.2009;314;
20.02.2009;288;
21.02.2009;270;
22.02.2009;256;
23.02.2009;251;
24.02.2009;251;
25.02.2009;248;
26.02.2009;240;
27.02.2009;229;
28.02.2009;218;
01.03.2009;213;
02.03.2009;205;
03.03.2009;213;
04.03.2009;225;
05.03.2009;248;
06.03.2009;375;
07.03.2009;537;
08.03.2009;522;
09.03.2009;438;
10.03.2009;397;
11.03.2009;385;
12.03.2009;347;
13.03.2009;315;
14.03.2009;293;
15.03.2009;274;
16.03.2009;255;
17.03.2009;244;
18.03.2009;231;
19.03.2009;230;
20.03.2009;230;
21.03.2009;227;
22.03.2009;217;
23.03.2009;205;
24.03.2009;214;
25.03.2009;235;
26.03.2009;241;
27.03.2009;241;
28.03.2009;241;
29.03.2009;250;
30.03.2009;320;
31.03.2009;611;
01.04.2009;682;
02.04.2009;648;
03.04.2009;723;
04.04.2009;839;
05.04.2009;859;
06.04.2009;814;
07.04.2009;712;
08.04.2009;585;
09.04.2009;478;
10.04.2009;405;
11.04.2009;360;
12.04.2009;328;
13.04.2009;296;
14.04.2009;261;
15.04.2009;249;
16.04.2009;238;
17.04.2009;227;
18.04.2009;221;
19.04.2009;218;
20.04.2009;218;
21.04.2009;211;
22.04.2009;219;
23.04.2009;243;
24.04.2009;253;
25.04.2009;350;
26.04.2009;399;
27.04.2009;350;
28.04.2009;298;
29.04.2009;273;
30.04.2009;304;
01.05.2009;338;
02.05.2009;363;
03.05.2009;355;
04.05.2009;309;
05.05.2009;284;
06.05.2009;271;
07.05.2009;249;
08.05.2009;236;
09.05.2009;226;
10.05.2009;216;
11.05.2009;203;
12.05.2009;195;
13.05.2009;190;
14.05.2009;188;
15.05.2009;187;
16.05.2009;179;
17.05.2009;182;
18.05.2009;179;
19.05.2009;175;
20.05.2009;173;
21.05.2009;168;
22.05.2009;165;
23.05.2009;163;
24.05.2009;161;
25.05.2009;159;
26.05.2009;160;
27.05.2009;159;
28.05.2009;162;
29.05.2009;162;
30.05.2009;162;
31.05.2009;166;
01.06.2009;173;
02.06.2009;167;
03.06.2009;162;
04.06.2009;158;
05.06.2009;161;
06.06.2009;165;
07.06.2009;164;
08.06.2009;163;
09.06.2009;161;
10.06.2009;166;
11.06.2009;163;
12.06.2009;158;
13.06.2009;156;
14.06.2009;153;
15.06.2009;152;
16.06.2009;150;
17.06.2009;147;
18.06.2009;147;
19.06.2009;147;
20.06.2009;148;
21.06.2009;146;
22.06.2009;153;
23.06.2009;163;
24.06.2009;169;
25.06.2009;169;
26.06.2009;168;
27.06.2009;167;
28.06.2009;169;
29.06.2009;171;
30.06.2009;183;
01.07.2009;200;
02.07.2009;241;
03.07.2009;226;
04.07.2009;200;
05.07.2009;184;
06.07.2009;175;
07.07.2009;174;
08.07.2009;183;
09.07.2009;201;
10.07.2009;246;
11.07.2009;251;
12.07.2009;228;
13.07.2009;201;
14.07.2009;186;
15.07.2009;178;
16.07.2009;170;
17.07.2009;161;
18.07.2009;156;
19.07.2009;156;
20.07.2009;160;
21.07.2009;162;
22.07.2009;162;
23.07.2009;158;
24.07.2009;153;
25.07.2009;150;
26.07.2009;147;
27.07.2009;147;
28.07.2009;148;
29.07.2009;146;
30.07.2009;144;
31.07.2009;142;
01.08.2009;142;
02.08.2009;142;
03.08.2009;141;
04.08.2009;144;
05.08.2009;149;
06.08.2009;154;
07.08.2009;153;
08.08.2009;154;
09.08.2009;153;
10.08.2009;151;
11.08.2009;150;
12.08.2009;149;
13.08.2009;147;
14.08.2009;144;
15.08.2009;141;
16.08.2009;139;
17.08.2009;138;
18.08.2009;139;
19.08.2009;140;
20.08.2009;139;
21.08.2009;138;
22.08.2009;135;
23.08.2009;135;
24.08.2009;137;
25.08.2009;145;
26.08.2009;143;
27.08.2009;143;
28.08.2009;141;
29.08.2009;138;
