datum;vodostaj;
01.01.2009;128;
02.01.2009;125;
03.01.2009;116;
04.01.2009;111;
05.01.2009;107;
06.01.2009;99;
07.01.2009;92;
08.01.2009;88;
09.01.2009;82;
10.01.2009;81;
11.01.2009;76;
12.01.2009;70;
13.01.2009;67;
14.01.2009;72;
15.01.2009;77;
16.01.2009;78;
17.01.2009;74;
18.01.2009;72;
19.01.2009;71;
20.01.2009;189;
21.01.2009;355;
22.01.2009;491;
23.01.2009;567;
24.01.2009;522;
25.01.2009;399;
26.01.2009;279;
27.01.2009;234;
28.01.2009;308;
29.01.2009;325;
30.01.2009;292;
31.01.2009;244;
01.02.2009;206;
02.02.2009;179;
03.02.2009;168;
04.02.2009;210;
05.02.2009;326;
06.02.2009;419;
07.02.2009;496;
08.02.2009;521;
09.02.2009;559;
10.02.2009;514;
11.02.2009;418;
12.02.2009;369;
13.02.2009;296;
14.02.2009;235;
15.02.2009;198;
16.02.2009;177;
17.02.2009;164;
18.02.2009;156;
19.02.2009;146;
20.02.2009;136;
21.02.2009;127;
22.02.2009;122;
23.02.2009;120;
24.02.2009;121;
25.02.2009;114;
26.02.2009;112;
27.02.2009;99;
28.02.2009;94;
01.03.2009;90;
02.03.2009;86;
03.03.2009;104;
04.03.2009;106;
05.03.2009;136;
06.03.2009;259;
07.03.2009;327;
08.03.2009;258;
09.03.2009;200;
10.03.2009;188;
11.03.2009;177;
12.03.2009;163;
13.03.2009;148;
14.03.2009;141;
15.03.2009;127;
16.03.2009;120;
17.03.2009;111;
18.03.2009;105;
19.03.2009;110;
20.03.2009;108;
21.03.2009;105;
22.03.2009;90;
23.03.2009;93;
24.03.2009;98;
25.03.2009;101;
26.03.2009;105;
27.03.2009;109;
28.03.2009;112;
29.03.2009;127;
30.03.2009;232;
31.03.2009;442;
01.04.2009;396;
02.04.2009;344;
03.04.2009;509;
04.04.2009;605;
05.04.2009;579;
06.04.2009;473;
07.04.2009;348;
08.04.2009;248;
09.04.2009;197;
10.04.2009;174;
11.04.2009;161;
12.04.2009;151;
13.04.2009;130;
14.04.2009;120;
15.04.2009;116;
16.04.2009;109;
17.04.2009;102;
18.04.2009;100;
19.04.2009;101;
20.04.2009;95;
21.04.2009;94;
22.04.2009;106;
23.04.2009;122;
24.04.2009;139;
25.04.2009;222;
26.04.2009;206;
27.04.2009;166;
28.04.2009;141;
29.04.2009;143;
30.04.2009;172;
01.05.2009;180;
02.05.2009;195;
03.05.2009;175;
04.05.2009;147;
05.05.2009;142;
06.05.2009;132;
07.05.2009;116;
08.05.2009;112;
09.05.2009;105;
10.05.2009;97;
11.05.2009;88;
12.05.2009;85;
13.05.2009;79;
14.05.2009;84;
15.05.2009;75;
16.05.2009;77;
17.05.2009;76;
18.05.2009;74;
19.05.2009;71;
20.05.2009;69;
21.05.2009;66;
22.05.2009;66;
23.05.2009;65;
24.05.2009;65;
25.05.2009;66;
26.05.2009;67;
27.05.2009;69;
28.05.2009;72;
29.05.2009;72;
30.05.2009;74;
31.05.2009;84;
01.06.2009;83;
02.06.2009;79;
03.06.2009;76;
04.06.2009;75;
05.06.2009;82;
06.06.2009;82;
07.06.2009;84;
08.06.2009;83;
09.06.2009;88;
10.06.2009;90;
11.06.2009;87;
12.06.2009;84;
13.06.2009;83;
14.06.2009;84;
15.06.2009;83;
16.06.2009;82;
17.06.2009;82;
18.06.2009;84;
19.06.2009;86;
20.06.2009;85;
21.06.2009;87;
22.06.2009;96;
23.06.2009;102;
24.06.2009;102;
25.06.2009;103;
26.06.2009;104;
27.06.2009;104;
28.06.2009;104;
29.06.2009;107;
30.06.2009;112;
01.07.2009;124;
02.07.2009;132;
03.07.2009;124;
04.07.2009;119;
05.07.2009;114;
06.07.2009;114;
07.07.2009;114;
08.07.2009;116;
09.07.2009;150;
10.07.2009;169;
11.07.2009;155;
12.07.2009;137;
13.07.2009;125;
14.07.2009;120;
15.07.2009;115;
16.07.2009;108;
17.07.2009;103;
18.07.2009;101;
19.07.2009;106;
20.07.2009;107;
21.07.2009;108;
22.07.2009;103;
23.07.2009;99;
24.07.2009;95;
25.07.2009;93;
26.07.2009;93;
27.07.2009;95;
28.07.2009;93;
29.07.2009;90;
30.07.2009;89;
31.07.2009;89;
01.08.2009;90;
02.08.2009;88;
03.08.2009;90;
04.08.2009;93;
05.08.2009;95;
06.08.2009;94;
07.08.2009;93;
08.08.2009;93;
09.08.2009;89;
10.08.2009;88;
11.08.2009;87;
12.08.2009;85;
13.08.2009;83;
14.08.2009;80;
15.08.2009;78;
16.08.2009;76;
17.08.2009;78;
18.08.2009;79;
19.08.2009;76;
20.08.2009;74;
21.08.2009;71;
22.08.2009;70;
23.08.2009;70;
24.08.2009;72;
25.08.2009;72;
26.08.2009;75;
27.08.2009;71;
28.08.2009;68;
29.08.2009;67;
30.08.2009;68;
31.08.2009;69;
01.09.2009;69;
02.09.2009;66;
03.09.2009;64;
04.09.2009;63;
05.09.2009;67;
06.09.2009;70;
07.09.2009;74;
08.09.2009;74;
09.09.2009;70;
10.09.2009;67;
11.09.2009;64;
12.09.2009;65;
13.09.2009;68;
14.09.2009;63;
15.09.2009;62;
16.09.2009;65;
17.09.2009;64;
18.09.2009;69;
19.09.2009;84;
20.09.2009;83;
21.09.2009;74;
22.09.2009;68;
23.09.2009;63;
24.09.2009;60;
25.09.2009;58;
26.09.2009;57;
27.09.2009;56;
28.09.2009;56;
29.09.2009;56;
30.09.2009;56;
01.10.2009;58;
