datum;vodostaj;
01.01.2009;83;
02.01.2009;83;
03.01.2009;80;
04.01.2009;78;
05.01.2009;76;
06.01.2009;75;
07.01.2009;73;
08.01.2009;73;
09.01.2009;70;
10.01.2009;68;
11.01.2009;67;
12.01.2009;66;
13.01.2009;66;
14.01.2009;66;
15.01.2009;66;
16.01.2009;65;
17.01.2009;64;
18.01.2009;64;
19.01.2009;165;
20.01.2009;252;
21.01.2009;280;
22.01.2009;359;
23.01.2009;267;
24.01.2009;192;
25.01.2009;157;
26.01.2009;140;
27.01.2009;149;
28.01.2009;178;
29.01.2009;156;
30.01.2009;139;
31.01.2009;127;
01.02.2009;117;
02.02.2009;110;
03.02.2009;107;
04.02.2009;158;
05.02.2009;230;
06.02.2009;359;
07.02.2009;350;
08.02.2009;410;
09.02.2009;306;
10.02.2009;223;
11.02.2009;243;
12.02.2009;202;
13.02.2009;160;
14.02.2009;136;
15.02.2009;121;
16.02.2009;110;
17.02.2009;103;
18.02.2009;99;
19.02.2009;93;
20.02.2009;89;
21.02.2009;86;
22.02.2009;83;
23.02.2009;81;
24.02.2009;79;
25.02.2009;77;
26.02.2009;75;
27.02.2009;74;
28.02.2009;74;
01.03.2009;72;
02.03.2009;73;
03.03.2009;77;
04.03.2009;93;
05.03.2009;158;
06.03.2009;285;
07.03.2009;207;
08.03.2009;151;
09.03.2009;128;
10.03.2009;117;
11.03.2009;108;
12.03.2009;103;
13.03.2009;99;
14.03.2009;95;
15.03.2009;91;
16.03.2009;88;
17.03.2009;86;
18.03.2009;86;
19.03.2009;84;
20.03.2009;82;
21.03.2009;79;
22.03.2009;77;
23.03.2009;75;
24.03.2009;76;
25.03.2009;79;
26.03.2009;77;
27.03.2009;77;
28.03.2009;85;
29.03.2009;109;
30.03.2009;429;
31.03.2009;346;
01.04.2009;240;
02.04.2009;248;
03.04.2009;455;
04.04.2009;292;
05.04.2009;210;
06.04.2009;177;
07.04.2009;154;
08.04.2009;136;
09.04.2009;122;
10.04.2009;113;
11.04.2009;106;
12.04.2009;101;
13.04.2009;97;
14.04.2009;93;
15.04.2009;90;
16.04.2009;87;
17.04.2009;84;
18.04.2009;85;
19.04.2009;83;
20.04.2009;81;
21.04.2009;83;
22.04.2009;105;
23.04.2009;103;
24.04.2009;141;
25.04.2009;154;
26.04.2009;123;
27.04.2009;107;
28.04.2009;98;
29.04.2009;115;
30.04.2009;158;
01.05.2009;153;
02.05.2009;141;
03.05.2009;117;
04.05.2009;114;
05.05.2009;107;
06.05.2009;98;
07.05.2009;91;
08.05.2009;85;
09.05.2009;81;
10.05.2009;78;
11.05.2009;75;
12.05.2009;73;
13.05.2009;72;
14.05.2009;70;
15.05.2009;69;
16.05.2009;68;
17.05.2009;66;
18.05.2009;64;
19.05.2009;63;
20.05.2009;63;
21.05.2009;63;
22.05.2009;61;
23.05.2009;61;
24.05.2009;61;
25.05.2009;61;
26.05.2009;60;
27.05.2009;59;
28.05.2009;58;
29.05.2009;58;
30.05.2009;58;
31.05.2009;62;
01.06.2009;59;
02.06.2009;56;
03.06.2009;55;
04.06.2009;56;
05.06.2009;59;
06.06.2009;59;
07.06.2009;56;
08.06.2009;68;
09.06.2009;78;
10.06.2009;68;
11.06.2009;62;
12.06.2009;58;
13.06.2009;57;
14.06.2009;55;
15.06.2009;54;
16.06.2009;53;
17.06.2009;52;
18.06.2009;52;
19.06.2009;51;
20.06.2009;53;
21.06.2009;59;
22.06.2009;62;
23.06.2009;57;
24.06.2009;57;
25.06.2009;56;
26.06.2009;57;
27.06.2009;56;
28.06.2009;58;
29.06.2009;65;
30.06.2009;68;
01.07.2009;65;
02.07.2009;62;
03.07.2009;63;
04.07.2009;61;
05.07.2009;59;
06.07.2009;59;
07.07.2009;60;
08.07.2009;81;
09.07.2009;132;
10.07.2009;101;
11.07.2009;83;
12.07.2009;74;
13.07.2009;68;
14.07.2009;64;
15.07.2009;61;
16.07.2009;59;
17.07.2009;58;
18.07.2009;57;
19.07.2009;59;
20.07.2009;67;
21.07.2009;62;
22.07.2009;59;
23.07.2009;56;
24.07.2009;54;
25.07.2009;53;
26.07.2009;53;
27.07.2009;52;
28.07.2009;51;
29.07.2009;51;
30.07.2009;51;
31.07.2009;50;
01.08.2009;50;
02.08.2009;50;
03.08.2009;49;
04.08.2009;53;
05.08.2009;53;
06.08.2009;53;
07.08.2009;52;
08.08.2009;51;
09.08.2009;50;
10.08.2009;50;
11.08.2009;51;
12.08.2009;49;
13.08.2009;49;
14.08.2009;49;
15.08.2009;49;
16.08.2009;48;
17.08.2009;49;
18.08.2009;47;
19.08.2009;45;
20.08.2009;44;
21.08.2009;44;
22.08.2009;44;
23.08.2009;46;
24.08.2009;44;
25.08.2009;45;
26.08.2009;44;
27.08.2009;44;
28.08.2009;44;
29.08.2009;44;
30.08.2009;46;
31.08.2009;45;
01.09.2009;46;
02.09.2009;45;
03.09.2009;44;
04.09.2009;44;
05.09.2009;44;
06.09.2009;63;
07.09.2009;59;
08.09.2009;53;
09.09.2009;49;
