datum;vodostaj;
01.01.2009;52;
02.01.2009;37;
03.01.2009;30;
04.01.2009;14;
05.01.2009;14;
06.01.2009;-6;
07.01.2009;-11;
08.01.2009;-23;
09.01.2009;-34;
10.01.2009;-28;
11.01.2009;-44;
12.01.2009;-50;
13.01.2009;-52;
14.01.2009;-35;
15.01.2009;-29;
16.01.2009;-34;
17.01.2009;-39;
18.01.2009;-41;
19.01.2009;-11;
20.01.2009;240;
21.01.2009;432;
22.01.2009;585;
23.01.2009;599;
24.01.2009;475;
25.01.2009;331;
26.01.2009;226;
27.01.2009;203;
28.01.2009;311;
29.01.2009;300;
30.01.2009;251;
31.01.2009;197;
01.02.2009;146;
02.02.2009;101;
03.02.2009;92;
04.02.2009;180;
05.02.2009;373;
06.02.2009;505;
07.02.2009;564;
08.02.2009;597;
09.02.2009;605;
10.02.2009;490;
11.02.2009;402;
12.02.2009;360;
13.02.2009;271;
14.02.2009;199;
15.02.2009;151;
16.02.2009;120;
17.02.2009;100;
18.02.2009;90;
19.02.2009;68;
20.02.2009;56;
21.02.2009;37;
22.02.2009;32;
23.02.2009;34;
24.02.2009;32;
25.02.2009;12;
26.02.2009;8;
27.02.2009;-15;
28.02.2009;-21;
01.03.2009;-33;
02.03.2009;-27;
03.03.2009;5;
04.03.2009;11;
05.03.2009;94;
06.03.2009;314;
07.03.2009;339;
08.03.2009;227;
09.03.2009;148;
10.03.2009;142;
11.03.2009;114;
12.03.2009;92;
13.03.2009;68;
14.03.2009;58;
15.03.2009;32;
16.03.2009;23;
17.03.2009;8;
18.03.2009;3;
19.03.2009;14;
20.03.2009;9;
21.03.2009;-1;
22.03.2009;-27;
23.03.2009;-6;
24.03.2009;-7;
25.03.2009;-9;
26.03.2009;-2;
27.03.2009;-4;
28.03.2009;12;
29.03.2009;53;
30.03.2009;332;
31.03.2009;518;
01.04.2009;393;
02.04.2009;359;
03.04.2009;680;
04.04.2009;666;
05.04.2009;524;
06.04.2009;408;
07.04.2009;288;
08.04.2009;194;
09.04.2009;139;
10.04.2009;110;
11.04.2009;91;
12.04.2009;76;
13.04.2009;29;
14.04.2009;23;
15.04.2009;17;
16.04.2009;5;
17.04.2009;-2;
18.04.2009;-5;
19.04.2009;-1;
20.04.2009;-17;
21.04.2009;-14;
22.04.2009;18;
23.04.2009;31;
24.04.2009;88;
25.04.2009;203;
26.04.2009;148;
27.04.2009;82;
28.04.2009;42;
29.04.2009;73;
30.04.2009;125;
01.05.2009;130;
02.05.2009;147;
03.05.2009;98;
04.05.2009;61;
05.05.2009;54;
06.05.2009;34;
07.05.2009;14;
08.05.2009;7;
09.05.2009;-3;
10.05.2009;-16;
11.05.2009;-30;
12.05.2009;-29;
13.05.2009;-39;
14.05.2009;-28;
15.05.2009;-51;
16.05.2009;-35;
17.05.2009;-45;
18.05.2009;-47;
19.05.2009;-50;
20.05.2009;-59;
21.05.2009;-61;
